Trade DATE,EVN NOCP
1/2/2018,12.41
1/3/2018,12.47
1/4/2018,12.46
1/5/2018,12.43
1/8/2018,12.44
1/9/2018,12.41
1/10/2018,12.36
1/11/2018,12.29
1/12/2018,12.24
1/16/2018,12.24
1/17/2018,12.23
1/18/2018,12.21
1/19/2018,12.2
1/22/2018,12.14
1/23/2018,12.16
1/24/2018,12.11
1/25/2018,12.09
1/26/2018,12.06
1/29/2018,11.85
1/30/2018,11.74
1/31/2018,11.7
2/1/2018,11.67
2/2/2018,11.6
2/5/2018,11.56
2/6/2018,11.65
2/7/2018,11.78
2/8/2018,11.78
2/9/2018,11.72
2/12/2018,11.67
2/13/2018,11.76
2/14/2018,11.69
2/15/2018,11.7
2/16/2018,11.71
2/20/2018,11.71
2/21/2018,11.68
2/22/2018,11.65
2/23/2018,11.7
2/26/2018,11.68
2/27/2018,11.72
2/28/2018,11.66
3/1/2018,11.66
3/2/2018,11.66
3/5/2018,11.61
3/6/2018,11.65
3/7/2018,11.66
3/8/2018,11.61
3/9/2018,11.52
3/12/2018,11.58
3/13/2018,11.62
3/14/2018,11.59
3/15/2018,11.55
3/16/2018,11.54
3/19/2018,11.49
3/20/2018,11.54
3/21/2018,11.55
3/22/2018,11.47
3/23/2018,11.45
3/26/2018,11.45
3/27/2018,11.52
3/28/2018,11.57
3/29/2018,11.71
4/2/2018,11.67
4/3/2018,11.56
4/4/2018,11.62
4/5/2018,11.78
4/6/2018,11.85
4/9/2018,11.81
4/10/2018,11.85
4/11/2018,11.69
4/12/2018,11.63
4/13/2018,11.64
4/16/2018,11.62
4/17/2018,11.56
4/18/2018,11.56
4/19/2018,11.57
4/20/2018,11.58
4/23/2018,11.54
4/24/2018,11.56
4/25/2018,11.49
4/26/2018,11.51
4/27/2018,11.54
4/30/2018,11.65
5/1/2018,11.72
5/2/2018,11.69
5/3/2018,11.73
5/4/2018,11.79
5/7/2018,11.83
5/8/2018,11.76
5/9/2018,11.72
5/10/2018,11.72
5/11/2018,11.74
5/14/2018,11.7
5/15/2018,11.66
5/16/2018,11.68
5/17/2018,11.67
5/18/2018,11.67
5/21/2018,11.65
5/22/2018,11.66
5/23/2018,11.7
5/24/2018,11.76
5/25/2018,11.87
5/29/2018,11.86
5/30/2018,11.84
5/31/2018,11.81
6/1/2018,11.85
6/4/2018,11.91
6/5/2018,11.91
6/6/2018,11.93
6/7/2018,11.94
6/8/2018,11.94
6/11/2018,11.91
6/12/2018,11.76
6/13/2018,11.8
6/14/2018,11.85
6/15/2018,11.77
6/18/2018,11.83
6/19/2018,11.99
6/20/2018,11.93
6/21/2018,11.92
6/22/2018,12
6/25/2018,11.9
6/26/2018,11.88
6/27/2018,11.9
6/28/2018,11.96
6/29/2018,11.84
7/2/2018,11.91
7/3/2018,11.97
7/5/2018,11.9
7/6/2018,11.96
7/9/2018,11.89
7/10/2018,11.95
7/11/2018,11.9
7/12/2018,11.99
7/13/2018,12.05
7/16/2018,12.04
7/17/2018,12.03
7/18/2018,11.97
7/19/2018,11.94
7/20/2018,12.02
7/23/2018,12.06
7/24/2018,11.96
7/25/2018,11.93
7/26/2018,11.9
7/27/2018,11.79
7/30/2018,11.81
7/31/2018,11.88
8/1/2018,11.9
8/2/2018,11.77
8/3/2018,11.82
8/6/2018,11.83
8/7/2018,11.83
8/8/2018,11.85
8/9/2018,11.86
8/10/2018,11.83
8/13/2018,11.86
8/14/2018,11.84
8/15/2018,11.87
8/16/2018,11.85
8/17/2018,11.85
8/20/2018,11.89
8/21/2018,11.89
8/22/2018,11.96
8/23/2018,12.05
8/24/2018,12.07
8/27/2018,12.05
8/28/2018,12.1
8/29/2018,12.08
8/30/2018,12.11
8/31/2018,12.11
9/4/2018,12.11
9/5/2018,12.01
9/6/2018,12.06
9/7/2018,12
9/10/2018,12.14
9/11/2018,12.08
9/12/2018,12.08
9/13/2018,12.02
9/14/2018,11.95
9/17/2018,11.73
9/18/2018,11.73
9/19/2018,11.66
9/20/2018,11.58
9/21/2018,11.52
9/24/2018,11.4
9/25/2018,11.45
9/26/2018,11.52
9/27/2018,11.55
9/28/2018,11.48
10/1/2018,11.48
10/2/2018,11.46
10/3/2018,11.28
10/4/2018,11.17
10/5/2018,11.05
10/8/2018,10.98
10/9/2018,11.03
10/10/2018,10.93
10/11/2018,10.84
10/12/2018,10.87
10/15/2018,10.83
10/16/2018,10.89
10/17/2018,10.94
10/18/2018,10.94
10/19/2018,10.93
10/22/2018,10.91
10/23/2018,10.86
10/24/2018,10.96
10/25/2018,10.96
10/26/2018,10.96
10/29/2018,10.96
10/30/2018,11
10/31/2018,11.03
11/1/2018,11.08
11/2/2018,10.96
11/5/2018,10.92
11/6/2018,10.94
11/7/2018,11
11/8/2018,11.08
11/9/2018,11.08
11/12/2018,11.12
11/13/2018,11.12
11/14/2018,11.09
11/15/2018,11.13
11/16/2018,11.13
11/19/2018,11.11
11/20/2018,10.97
11/21/2018,10.95
11/23/2018,10.96
11/26/2018,10.91
11/27/2018,10.96
11/28/2018,10.99
11/29/2018,11
11/30/2018,11.05
12/3/2018,11.16
12/4/2018,11.26
12/6/2018,11.32
12/7/2018,11.5
12/10/2018,11.63
12/11/2018,11.55
12/12/2018,11.43
12/13/2018,11.31
12/14/2018,11.27
12/17/2018,11.16
12/18/2018,11.13
12/19/2018,11.11
12/20/2018,11.03
12/21/2018,11.09
12/24/2018,11.1
12/26/2018,11.08
12/27/2018,11.1
12/28/2018,11.13
12/31/2018,11.31
1/2/2019,11.55
1/3/2019,11.5
1/4/2019,11.48
1/7/2019,11.48
1/8/2019,11.47
1/9/2019,11.49
1/10/2019,11.53
1/11/2019,11.49
1/14/2019,11.47
1/15/2019,11.45
1/16/2019,11.41
1/17/2019,11.39
1/18/2019,11.33
1/22/2019,11.34
1/23/2019,11.39
1/24/2019,11.49
1/25/2019,11.5
1/28/2019,11.5
1/29/2019,11.55
1/30/2019,11.6
1/31/2019,11.65
2/1/2019,11.72
2/4/2019,11.7
2/5/2019,11.67
2/6/2019,11.75
2/7/2019,11.79
2/8/2019,11.81
2/11/2019,11.81
2/12/2019,11.81
2/13/2019,11.78
2/14/2019,11.82
2/15/2019,11.83
2/19/2019,11.81
2/20/2019,11.81
2/21/2019,11.8
2/22/2019,11.82
2/25/2019,11.79
2/26/2019,11.78
2/27/2019,11.71
2/28/2019,11.74
3/1/2019,11.72
3/4/2019,11.8
3/5/2019,11.82
3/6/2019,11.79
3/7/2019,11.94
3/8/2019,11.92
3/11/2019,11.95
3/12/2019,11.92
3/13/2019,11.92
3/14/2019,11.87
3/15/2019,11.78
3/18/2019,11.79
3/19/2019,11.89
3/20/2019,11.99
3/21/2019,12.03
3/22/2019,12.05
3/25/2019,12.08
3/26/2019,12.05
3/27/2019,12.03
3/28/2019,12.17
3/29/2019,12.2
4/1/2019,12.17
4/2/2019,12.14
4/3/2019,12.11
4/4/2019,12.1
4/5/2019,12.05
4/8/2019,12.08
4/9/2019,12.1
4/10/2019,12.03
4/11/2019,12.05
4/12/2019,12.02
4/15/2019,12
4/16/2019,11.9
4/17/2019,11.86
4/18/2019,11.98
4/22/2019,11.91
4/23/2019,12.06
4/24/2019,12.08
4/25/2019,12.11
4/26/2019,12.12
4/29/2019,12.19
4/30/2019,12.15
5/1/2019,12.21
5/2/2019,12.09
5/3/2019,12.11
5/6/2019,12.18
5/7/2019,12.23
5/8/2019,12.26
5/9/2019,12.23
5/10/2019,12.15
5/13/2019,12.15
5/14/2019,12.15
5/15/2019,12.17
5/16/2019,12.22
5/17/2019,12.24
5/20/2019,12.18
5/21/2019,12.23
5/22/2019,12.15
5/23/2019,12.12
5/24/2019,12.18
5/28/2019,12.24
5/29/2019,12.22
5/30/2019,12.26
5/31/2019,12.3
6/3/2019,12.31
6/4/2019,12.3
6/5/2019,12.29
6/6/2019,12.3
6/7/2019,12.4
6/10/2019,12.41
6/11/2019,12.44
6/12/2019,12.35
6/13/2019,12.34
6/14/2019,12.3
6/17/2019,12.34
6/18/2019,12.3
6/19/2019,12.38
6/20/2019,12.39
6/21/2019,12.43
6/24/2019,12.48
6/25/2019,12.41
6/26/2019,12.4
6/27/2019,12.45
6/28/2019,12.44
7/1/2019,12.37
7/2/2019,12.36
7/3/2019,12.42
7/5/2019,12.4
7/8/2019,12.42
7/9/2019,12.44
7/10/2019,12.44
7/11/2019,12.45
7/12/2019,12.48
7/15/2019,12.49
7/16/2019,12.49
7/17/2019,12.49
7/18/2019,12.49
7/19/2019,12.51
7/22/2019,12.54
7/23/2019,12.54
7/24/2019,12.56
7/25/2019,12.56
7/26/2019,12.6
7/29/2019,12.63
7/30/2019,12.62
7/31/2019,12.65
8/1/2019,12.72
8/2/2019,12.77
8/5/2019,12.81
8/6/2019,12.75
8/7/2019,12.76
8/8/2019,12.87
8/9/2019,12.78
8/12/2019,12.79
8/13/2019,12.83
8/14/2019,12.89
8/15/2019,12.9
8/16/2019,12.96
8/19/2019,12.95
8/20/2019,12.88
8/21/2019,12.85
8/22/2019,12.85
8/23/2019,12.89
8/26/2019,12.9
8/27/2019,12.93
8/28/2019,12.95
8/29/2019,12.95
8/30/2019,12.95
9/3/2019,12.96
9/4/2019,12.98
9/5/2019,12.95
9/6/2019,12.97
9/9/2019,12.92
9/10/2019,12.88
9/11/2019,12.86
9/12/2019,12.72
9/13/2019,12.42
9/16/2019,12.35
9/17/2019,12.52
9/18/2019,12.68
9/19/2019,12.75
9/20/2019,12.8
9/23/2019,12.76
9/24/2019,12.77
9/25/2019,12.8
9/26/2019,12.74
9/27/2019,12.82
9/30/2019,12.88
10/1/2019,12.9
10/2/2019,12.93
10/3/2019,12.93
10/4/2019,12.84
10/7/2019,12.8
10/8/2019,12.88
10/9/2019,12.89
10/10/2019,12.86
10/11/2019,12.82
10/14/2019,12.86
10/15/2019,12.8
10/16/2019,12.73
10/17/2019,12.67
10/18/2019,12.66
10/21/2019,12.6
10/22/2019,12.63
10/23/2019,12.58
10/24/2019,12.56
10/25/2019,12.51
10/28/2019,12.46
10/29/2019,12.53
10/30/2019,12.63
10/31/2019,12.86
11/1/2019,12.68
11/4/2019,12.7
11/5/2019,12.77
11/6/2019,12.84
11/7/2019,12.85
11/8/2019,12.84
11/11/2019,12.84
11/12/2019,12.78
11/13/2019,12.75
11/14/2019,12.74
11/15/2019,12.74
11/18/2019,12.79
11/19/2019,12.76
11/20/2019,12.81
11/21/2019,12.8
11/22/2019,12.82
11/25/2019,12.85
11/26/2019,12.9
11/27/2019,12.84
11/29/2019,12.88
12/2/2019,12.87
12/3/2019,12.88
12/4/2019,12.88
12/5/2019,12.9
12/6/2019,12.96
12/9/2019,12.97
12/10/2019,13
12/11/2019,12.83
12/12/2019,12.74
12/13/2019,12.72
12/16/2019,12.72
12/17/2019,12.71
12/18/2019,12.84
12/19/2019,12.84
12/20/2019,12.81
12/23/2019,12.76
12/24/2019,12.84
12/26/2019,12.88
12/27/2019,12.91
12/30/2019,12.86
11/18/2019,12.79
11/19/2019,12.76
11/20/2019,12.81
11/21/2019,12.8
11/22/2019,12.82
11/25/2019,12.85
11/26/2019,12.9
11/27/2019,12.84
11/29/2019,12.88
12/2/2019,12.87
12/3/2019,12.88
12/4/2019,12.88
12/5/2019,12.9
12/6/2019,12.96
12/9/2019,12.97
12/10/2019,13
12/11/2019,12.83
12/12/2019,12.74
12/13/2019,12.72
12/16/2019,12.72
12/17/2019,12.71
12/18/2019,12.84
12/19/2019,12.84
12/20/2019,12.81
12/23/2019,12.76
12/24/2019,12.84
12/26/2019,12.88
12/27/2019,12.91
12/30/2019,12.86
